RK,Name,player_href,team,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
1,Derrick Henry,http://www.espn.com/nfl/player/_/id/3043078/derrick-henry,TEN,RB,8,219,937,4.3,76,3,10,117.1,1,0,49
2,Jonathan Taylor,http://www.espn.com/nfl/player/_/id/4242335/jonathan-taylor,IND,RB,9,140,821,5.9,83,7,8,91.2,2,1,49
3,Nick Chubb,http://www.espn.com/nfl/player/_/id/3128720/nick-chubb,CLE,RB,7,120,721,6.0,70,8,6,103.0,2,1,34
4,Lamar Jackson,http://www.espn.com/nfl/player/_/id/3916387/lamar-jackson,BAL,QB,9,106,639,6.0,31,5,2,71.0,4,2,39
5,Joe Mixon,http://www.espn.com/nfl/player/_/id/3116385/joe-mixon,CIN,RB,9,150,636,4.2,27,3,7,70.7,0,0,30
6,Ezekiel Elliott,http://www.espn.com/nfl/player/_/id/3051392/ezekiel-elliott,DAL,RB,8,128,622,4.9,47,2,5,77.8,0,0,32
7,Darrell Henderson Jr.,http://www.espn.com/nfl/player/_/id/4039359/darrell-henderson-jr,LAR,RB,8,121,562,4.6,29,1,5,70.3,0,0,30
8,Dalvin Cook,http://www.espn.com/nfl/player/_/id/3116593/dalvin-cook,MIN,RB,6,115,554,4.8,66,3,2,92.3,2,1,29
9,Damien Harris,http://www.espn.com/nfl/player/_/id/3925347/damien-harris,NE,RB,9,133,547,4.1,35,5,7,60.8,2,2,29
10,Najee Harris,http://www.espn.com/nfl/player/_/id/4241457/najee-harris,PIT,RB,8,150,541,3.6,20,2,4,67.6,0,0,30
11,Alvin Kamara,http://www.espn.com/nfl/player/_/id/3054850/alvin-kamara,NO,RB,8,146,530,3.6,23,1,3,66.3,0,0,21
12,Aaron Jones,http://www.espn.com/nfl/player/_/id/3042519/aaron-jones,GB,RB,9,116,516,4.4,57,2,3,57.3,1,1,26
13,Jalen Hurts,http://www.espn.com/nfl/player/_/id/4040715/jalen-hurts,PHI,QB,9,83,494,6.0,27,3,5,54.9,3,1,35
14,James Robinson,http://www.espn.com/nfl/player/_/id/4052042/james-robinson,JAX,RB,7,88,482,5.5,58,4,5,68.9,0,0,25
15,Austin Ekeler,http://www.espn.com/nfl/player/_/id/3068267/austin-ekeler,LAC,RB,8,101,479,4.7,28,3,5,59.9,0,0,29
16,Melvin Gordon III,http://www.espn.com/nfl/player/_/id/2576434/melvin-gordon-iii,DEN,RB,9,109,477,4.4,70,1,4,53.0,1,1,25
17,Elijah Mitchell,http://www.espn.com/nfl/player/_/id/4241555/elijah-mitchell,SF,RB,6,89,469,5.3,39,5,3,78.2,0,0,23
18,Javonte Williams,http://www.espn.com/nfl/player/_/id/4361579/javonte-williams,DEN,RB,9,95,466,4.9,49,5,1,51.8,1,1,22
19,James Conner,http://www.espn.com/nfl/player/_/id/3045147/james-conner,ARI,RB,9,115,454,3.9,35,1,10,50.4,2,0,32
20,Antonio Gibson,http://www.espn.com/nfl/player/_/id/4360294/antonio-gibson,WSH,RB,8,111,442,4.0,27,1,3,55.3,4,2,27
21,Leonard Fournette,http://www.espn.com/nfl/player/_/id/3115364/leonard-fournette,TB,RB,8,101,439,4.3,21,2,4,54.9,0,0,25
22,Chase Edmonds,http://www.espn.com/nfl/player/_/id/3119195/chase-edmonds,ARI,RB,9,76,430,5.7,54,2,1,47.8,0,0,21
23,Tony Pollard,http://www.espn.com/nfl/player/_/id/3916148/tony-pollard,DAL,RB,8,72,403,5.6,28,2,1,50.4,0,0,21
24,Chuba Hubbard,http://www.espn.com/nfl/player/_/id/4241416/chuba-hubbard,CAR,RB,9,111,394,3.5,26,1,2,43.8,1,1,22
25,David Montgomery,http://www.espn.com/nfl/player/_/id/4035538/david-montgomery,CHI,RB,5,82,372,4.5,41,3,3,74.4,0,0,22
39,Mark Ingram II,http://www.espn.com/nfl/player/_/id/13981/mark-ingram-ii,HOU/NO,RB,9,107,364,3.4,24,1,1,40.4,0,0,15
26,Khalil Herbert,http://www.espn.com/nfl/player/_/id/4035886/khalil-herbert,CHI,RB,9,85,364,4.3,29,3,1,40.4,0,0,20
27,Kareem Hunt,http://www.espn.com/nfl/player/_/id/3059915/kareem-hunt,CLE,RB,6,69,361,5.2,33,2,5,60.2,0,0,21
28,Devin Singletary,http://www.espn.com/nfl/player/_/id/4040761/devin-singletary,BUF,RB,8,73,355,4.9,46,2,1,44.4,1,0,13
28,AJ Dillon,http://www.espn.com/nfl/player/_/id/4239934/aj-dillon,GB,RB,9,76,355,4.7,36,2,0,39.4,1,1,20
30,Myles Gaskin,http://www.espn.com/nfl/player/_/id/3886818/myles-gaskin,MIA,RB,10,100,344,3.4,18,0,1,34.4,2,1,16
31,Michael Carter,http://www.espn.com/nfl/player/_/id/4240657/michael-carter,NYJ,RB,8,86,328,3.8,18,0,3,41.0,0,0,18
32,Josh Allen,http://www.espn.com/nfl/player/_/id/3918298/josh-allen,BUF,QB,8,57,319,5.6,34,3,3,39.9,4,1,24
33,Devontae Booker,http://www.espn.com/nfl/player/_/id/3122866/devontae-booker,NYG,RB,8,85,315,3.7,20,1,2,39.4,0,0,15
34,Jamaal Williams,http://www.espn.com/nfl/player/_/id/2980453/jamaal-williams,DET,RB,7,71,312,4.4,20,1,2,44.6,0,0,24
35,Alex Collins,http://www.espn.com/nfl/player/_/id/3046409/alex-collins,SEA,RB,7,74,304,4.1,25,2,2,43.4,0,0,16
35,Clyde Edwards-Helaire,http://www.espn.com/nfl/player/_/id/4242214/clyde-edwards-helaire,KC,RB,5,65,304,4.7,17,0,0,60.8,2,2,10
37,Darrel Williams,http://www.espn.com/nfl/player/_/id/3115375/darrel-williams,KC,RB,9,84,300,3.6,12,0,4,33.3,0,0,24
37,Miles Sanders,http://www.espn.com/nfl/player/_/id/4045163/miles-sanders,PHI,RB,7,63,300,4.8,24,3,0,42.9,0,0,16
40,D'Andre Swift,http://www.espn.com/nfl/player/_/id/4259545/dandre-swift,DET,RB,8,90,289,3.2,16,0,3,36.1,0,0,15
41,Justin Fields,http://www.espn.com/nfl/player/_/id/4362887/justin-fields,CHI,QB,9,52,288,5.5,22,1,2,32.0,3,0,15
42,Josh Jacobs,http://www.espn.com/nfl/player/_/id/4047365/josh-jacobs,LV,RB,6,73,280,3.8,15,0,5,46.7,0,0,15
43,Cordarrelle Patterson,http://www.espn.com/nfl/player/_/id/15807/cordarrelle-patterson,ATL,RB,8,73,278,3.8,14,0,2,34.8,1,0,13
44,Alexander Mattison,http://www.espn.com/nfl/player/_/id/4048244/alexander-mattison,MIN,RB,8,74,273,3.7,48,2,0,34.1,1,1,11
45,Mike Davis,http://www.espn.com/nfl/player/_/id/3025433/mike-davis,ATL,RB,8,84,271,3.2,18,0,1,33.9,2,1,12
45,Sony Michel,http://www.espn.com/nfl/player/_/id/3128721/sony-michel,LAR,RB,9,72,271,3.8,15,0,1,30.1,1,1,17
47,Daniel Jones,http://www.espn.com/nfl/player/_/id/3917792/daniel-jones,NYG,QB,9,50,258,5.2,46,2,2,28.7,2,1,14
48,Christian McCaffrey,http://www.espn.com/nfl/player/_/id/3117251/christian-mccaffrey,CAR,RB,4,66,253,3.8,18,0,1,63.3,1,0,11
49,Zack Moss,http://www.espn.com/nfl/player/_/id/4035676/zack-moss,BUF,RB,7,65,233,3.6,17,0,3,33.3,0,0,13
50,Taylor Heinicke,http://www.espn.com/nfl/player/_/id/2565969/taylor-heinicke,WSH,QB,8,36,232,6.4,38,2,1,29.0,2,0,13
